#File	#date	#Source	#Software	#Creator	#Contributors	#Owner	#Rights	#RightsURL	#ContactURL
data/logo/logo.png	2019:07	scanned old paper	Gimp	N-z0		N-z0	CC BY-ND 4.0;Licensed to the public under the Creative Commons Attribution-NoDerivatives 4.0 International	http://creativecommons.org/licenses/by-nd/4.0/	https://github.com/N-z0
data/logo/blind.ogg	2019		Audacity	N-z0			CC BY-ND 4.0		https://github.com/N-z0
docs/contents/sources/robots/sci-fi/ed209.jpg						Ankaos (Ángel Aguilar)	Attribution-NoDerivs 3.0 Unported (CC BY-ND 3.0)		https://dibujando.net/ankaos
docs/contents/sources/robots/sci-fi/mecha-2657140.png	2017			BUMIPUTRA		BUMIPUTRA	Pixabay License	https://pixabay.com/service/license/	https://pixabay.com/fr/users/bumiputra-731298/
docs/contents/sources/robots/sci-fi/madcat.jpg	2015:08:30 15:59:33					Wafna's Custom Shots	Attribution-NonCommercial-NoDerivs 2.0 Generic (CC BY-NC-ND 2.0)	http://creativecommons.org/licenses/by-nc-nd/2.0/	https://www.flickr.com/photos/wafna-204/
docs/contents/sources/robots/sci-fi/starwars/at-st.jpg	2017:04:14 17:20:59					Quarax	Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)	http://creativecommons.org/licenses/by-sa/4.0/	https://commons.wikimedia.org/wiki/User:Quarax
docs/contents/sources/robots/sci-fi/starwars/at-at.svg	2013:11:16 09:16:26	http://openclipart.org/detail/188813/at---at-by-charner1963-188813		charner1963			http://creativecommons.org/licenses/publicdomain/	http://creativecommons.org/licenses/publicdomain/	
docs/contents/sources/robots/real/big_dog.jpg	2018:09:05 18:38:30	Own work	DSC-RX100M3 v1.00	Daderot			licensed to the public under the Creative Commons CC0 1.0 Universal Public Domain Dedication	http://creativecommons.org/publicdomain/zero/1.0/	https://commons.wikimedia.org/wiki/User:Daderot
docs/contents/sources/robots/real/pinza.jpg	2010:01:26 22:57:59	own work	Adobe Photoshop CS4 Macintosh			Alexgace	CC BY-SA 3.0;Creative Commons Attribution-ShareAlike 3.0 International	https://creativecommons.org/licenses/by-sa/3.0/	
docs/contents/sources/robots/real/darpa.jpg	2012:09:06 12:09:45	DSC_0502.JPG					public domain		
docs/contents/sources/old-papers/paper-25.jpg	1995	paper	XSane	N-z0		N-z0	CC BY 4.0;licensed to the public under the Creative Commons Attribution 4.0 International	http://creativecommons.org/licenses/by/4.0/	https://github.com/N-z0
docs/contents/sources/old-papers/paper-30.jpg	1995	paper	XSane	N-z0		N-z0	CC BY 4.0;licensed to the public under the Creative Commons Attribution 4.0 International	http://creativecommons.org/licenses/by/4.0/	https://github.com/N-z0
docs/contents/sources/old-papers/paper-23.jpg	1995	paper	XSane	N-z0		N-z0	CC BY 4.0;licensed to the public under the Creative Commons Attribution 4.0 International	http://creativecommons.org/licenses/by/4.0/	https://github.com/N-z0
docs/contents/sources/old-papers/paper-15.jpg	1995	paper	XSane	N-z0		N-z0	CC BY 4.0;licensed to the public under the Creative Commons Attribution 4.0 International	http://creativecommons.org/licenses/by/4.0/	https://github.com/N-z0
docs/contents/sources/old-papers/paper-05.jpg	1995	paper	XSane	N-z0		N-z0	CC BY 4.0;licensed to the public under the Creative Commons Attribution 4.0 International	http://creativecommons.org/licenses/by/4.0/	https://github.com/N-z0
docs/contents/sources/old-papers/paper-24.jpg	1995	paper	XSane	N-z0		N-z0	CC BY 4.0;licensed to the public under the Creative Commons Attribution 4.0 International	http://creativecommons.org/licenses/by/4.0/	https://github.com/N-z0
docs/contents/sources/old-papers/paper-11.jpg	1995	paper	XSane	N-z0		N-z0	CC BY 4.0;licensed to the public under the Creative Commons Attribution 4.0 International	http://creativecommons.org/licenses/by/4.0/	https://github.com/N-z0
docs/contents/sources/old-papers/paper-01.jpg	1995	paper	XSane	N-z0		N-z0	CC BY 4.0;licensed to the public under the Creative Commons Attribution 4.0 International	http://creativecommons.org/licenses/by/4.0/	https://github.com/N-z0
docs/contents/sources/old-papers/paper-13.jpg	1995	paper	XSane	N-z0		N-z0	CC BY 4.0;licensed to the public under the Creative Commons Attribution 4.0 International	http://creativecommons.org/licenses/by/4.0/	https://github.com/N-z0
docs/contents/sources/old-papers/paper-22.jpg	1995	paper	XSane	N-z0		N-z0	CC BY 4.0;licensed to the public under the Creative Commons Attribution 4.0 International	http://creativecommons.org/licenses/by/4.0/	https://github.com/N-z0
docs/contents/sources/old-papers/paper-26.jpg	1995	paper	XSane	N-z0		N-z0	CC BY 4.0;licensed to the public under the Creative Commons Attribution 4.0 International	http://creativecommons.org/licenses/by/4.0/	https://github.com/N-z0
docs/contents/sources/old-papers/paper-02.jpg	1995	paper	XSane	N-z0		N-z0	CC BY 4.0;licensed to the public under the Creative Commons Attribution 4.0 International	http://creativecommons.org/licenses/by/4.0/	https://github.com/N-z0
docs/contents/sources/old-papers/paper-20.jpg	1995	paper	XSane	N-z0		N-z0	CC BY 4.0;licensed to the public under the Creative Commons Attribution 4.0 International	http://creativecommons.org/licenses/by/4.0/	https://github.com/N-z0
docs/contents/sources/old-papers/paper-04.jpg	1995	paper	XSane	N-z0		N-z0	CC BY 4.0;licensed to the public under the Creative Commons Attribution 4.0 International	http://creativecommons.org/licenses/by/4.0/	https://github.com/N-z0
docs/contents/sources/old-papers/paper-16.jpg	1995	paper	XSane	N-z0		N-z0	CC BY 4.0;licensed to the public under the Creative Commons Attribution 4.0 International	http://creativecommons.org/licenses/by/4.0/	https://github.com/N-z0
docs/contents/sources/old-papers/paper-31.jpg	1995	paper	XSane	N-z0		N-z0	CC BY 4.0;licensed to the public under the Creative Commons Attribution 4.0 International	http://creativecommons.org/licenses/by/4.0/	https://github.com/N-z0
docs/contents/sources/old-papers/paper-21.jpg	1995	paper	XSane	N-z0		N-z0	CC BY 4.0;licensed to the public under the Creative Commons Attribution 4.0 International	http://creativecommons.org/licenses/by/4.0/	https://github.com/N-z0
docs/contents/sources/old-papers/logo/paper-19.jpg	1995	paper	XSane	N-z0		N-z0	CC BY 4.0;licensed to the public under the Creative Commons Attribution 4.0 International	http://creativecommons.org/licenses/by/4.0/	https://github.com/N-z0
docs/contents/sources/old-papers/logo/paper-29.jpg	1995	paper	XSane	N-z0		N-z0	CC BY 4.0;licensed to the public under the Creative Commons Attribution 4.0 International	http://creativecommons.org/licenses/by/4.0/	https://github.com/N-z0
docs/contents/sources/old-papers/logo/paper-12.jpg	1995	paper	XSane	N-z0		N-z0	CC BY 4.0;licensed to the public under the Creative Commons Attribution 4.0 International	http://creativecommons.org/licenses/by/4.0/	https://github.com/N-z0
docs/contents/sources/old-papers/logo/paper-14.jpg	1995	paper	XSane	N-z0		N-z0	CC BY 4.0;licensed to the public under the Creative Commons Attribution 4.0 International	http://creativecommons.org/licenses/by/4.0/	https://github.com/N-z0
docs/contents/sources/old-papers/matos/paper-06.jpg	1995	paper	XSane	N-z0		N-z0	CC BY 4.0;licensed to the public under the Creative Commons Attribution 4.0 International	http://creativecommons.org/licenses/by/4.0/	https://github.com/N-z0
docs/contents/sources/old-papers/matos/paper-18.jpg	1995	paper	XSane	N-z0		N-z0	CC BY 4.0;licensed to the public under the Creative Commons Attribution 4.0 International	http://creativecommons.org/licenses/by/4.0/	https://github.com/N-z0
